Team Name;Team ID;P1;P2;P3;P4;P5;R1 ID;R2 ID;R3 ID;R4 ID;R5 ID;R1 Participates;R2 Participates;R3 Participates;R4 Participates;R5 Participates;R1 Room Strenght;R2 Room Strenght;R3 Room Strenght;R4 Room Strenght;R5 Room Strenght
Ärapanija;team_27196351;0;1;2;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;2;1;5;7;8
Buds;team_12357207;3;4;5;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;7;3;2;4;1
Deb8tractive;team_48884495;6;7;8;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;2;7;7;8;7
Debatonaator 5000;team_20484402;9;10;11;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;5;5;7;5;4
follow @bossekass;team_25160705;12;13;14;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;6;2;2;1;3
HMU;team_88726937;15;16;17;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;3;4;4;6;5
HTG 2;team_93192089;18;19;20;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;7;2;3;5;3
Justiitsministeerium;team_77523757;21;22;23;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;1;0;4;2;6
Kaosus;team_45985259;24;25;26;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;6;1;0;0;1
Katoliku 1;team_21593360;27;28;29;30;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;8;3;5;3;2
kestaMesta;team_18939462;33;34;35;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;3;5;1;0;0
Kolmainsus;team_10146268;39;40;41;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;5;4;3;2;2
May Contain Nuts;team_98843664;42;43;44;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;0;0;0;1;0
Me ei lähe etapile, sest meil pole nime;team_76760250;45;46;47;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;1;8;6;6;8
Uus tiim;team_76179689;48;61;62;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;8;6;8;7;4
Null punkti;team_46725773;49;50;51;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;4;8;8;8;7
Söörömöö;team_99897287;52;53;54;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;0;7;6;3;6
See väitlus oli väga tasavägine;team_20168253;55;56;57;;;round_85245180;round_74051267;round_36174415;round_56010660;round_84966475;true;true;true;true;true;4;6;1;4;5
